 (1.699752709376645E-005,-4.366047565997249E-005)
 (2.138001734057311E-003,-0.181728886818312)
 (-5.068070776647531E-003,0.431293676749430)
 (3.037451288667681E-002,-2.58662685280930)
 (6.838943646548193E-002,0.219484040432259)
 (-7.950454343380342E-002,-0.255186612608251)
 (7.863662193213913E-002,0.252523305080193)
 (0.142369325219604,1.171400259837315E-002)
 (4.230691242515510E-004,3.531176594045695E-005)
 (-2.16222864711450,-0.177906114407457)
 (-4.695585395003268E-003,-1.828373321757649E-003)
 (-4.935901369350888E-002,-1.922531868390090E-002)
 (0.227040267204819,8.844838003325756E-002)
 (-1.06533923421820,-0.353914864329307)
 (0.572166311287891,0.190078405878504)
 (-0.697643401589261,-0.231763287376753)
 (-0.211067839369531,-9.835850972009585E-002)
 (0.126313590120765,5.886298738312925E-002)
 (-0.121879558691158,-5.679762568213311E-002)
 (6.807241175293180E-004,-2.096165878251858E-003)
 (-9.365094767345785E-004,2.880720671589107E-003)
 (5.431796870979020E-006,-1.859870801387052E-005)
 (-1.91296597317675,-4.12879543117747)
 (0.884127317371642,1.90821280829968)
 (-3.98419997135066,-8.59925202348699)
 (0.110465847893114,-3.426498996292753E-002)
 (-0.238946059310762,7.376487286772539E-002)
 (-0.428679727173383,0.131764672002929)
 (-7.920195974863244E-003,-6.838246796365220E-003)
 (1.842134284544442E-002,1.590805456452321E-002)
 (-9.585933471908638E-006,-4.589577534669225E-007)
 (-2.33029699457781,0.302079834709685)
 (-4.63933576108839,0.601406908128438)
 (-20.0696030934014,2.60165686711656)
 (-3.113368093044180E-002,1.830842072853603E-002)
 (-0.225654945504383,0.132508069740217)
 (-0.475443645959304,0.279324989645331)
 (-7.433210199997524E-002,-0.148138125546218)
 (0.172741356155023,0.344252285287628)
 (9.361513585123710E-006,3.212678668187318E-005)
 (-0.163536316506908,0.315779679864839)
 (0.225746415819633,-0.435947233484432)
 (-3.433448731511715E-005,-1.297559947864959E-005)
 (1.378263431249399E-003,-4.376608470508126E-002)
